┌─────────┬────────────────┬────────┬──────┬───────┬─────────┬────────────┬─────────┬──────────────┬─────────────────┬──────────┬──────────┐
│ (index) │ name           │ n      │ diff │ cells │ freshMs │ freshP95Ms │ buildMs │ maintainedMs │ maintainedP95Ms │ updateMs │ decodeMs │
├─────────┼────────────────┼────────┼──────┼───────┼─────────┼────────────┼─────────┼──────────────┼─────────────────┼──────────┼──────────┤
│ 0       │ 'hash32x4'     │ 10000  │ 100  │ 512   │ 1.9639  │ 2.569      │ 1.8911  │ 0.0768       │ 0.1379          │ 0.0244   │ 0.0282   │
│ 1       │ 'hash128split' │ 10000  │ 100  │ 512   │ 2.0959  │ 2.8482     │ 2.04    │ 0.0772       │ 0.1041          │ 0.0287   │ 0.0268   │
│ 2       │ 'hash32x4'     │ 300000 │ 1000 │ 5000  │ 62.7395 │ 66.7557    │ 62.2429 │ 0.6082       │ 0.8568          │ 0.2795   │ 0.2406   │
│ 3       │ 'hash128split' │ 300000 │ 1000 │ 5000  │ 67.4517 │ 71.6665    │ 67.0823 │ 0.6123       │ 0.8509          │ 0.3046   │ 0.2269   │
└─────────┴────────────────┴────────┴──────┴───────┴─────────┴────────────┴─────────┴──────────────┴─────────────────┴──────────┴──────────┘
┌─────────┬────────────────┬──────┬──────────────┬───────┬────────┬─────────┐
│ (index) │ name           │ diff │ pattern      │ cells │ trials │ success │
├─────────┼────────────────┼──────┼──────────────┼───────┼────────┼─────────┤
│ 0       │ 'hash32x4'     │ 100  │ 'random'     │ 120   │ 1000   │ 2       │
│ 1       │ 'hash128split' │ 100  │ 'random'     │ 120   │ 1000   │ 2       │
│ 2       │ 'hash32x4'     │ 100  │ 'random'     │ 132   │ 1000   │ 315     │
│ 3       │ 'hash128split' │ 100  │ 'random'     │ 132   │ 1000   │ 323     │
│ 4       │ 'hash32x4'     │ 100  │ 'random'     │ 140   │ 1000   │ 824     │
│ 5       │ 'hash128split' │ 100  │ 'random'     │ 140   │ 1000   │ 816     │
│ 6       │ 'hash32x4'     │ 100  │ 'random'     │ 152   │ 1000   │ 996     │
│ 7       │ 'hash128split' │ 100  │ 'random'     │ 152   │ 1000   │ 992     │
│ 8       │ 'hash32x4'     │ 100  │ 'random'     │ 200   │ 1000   │ 999     │
│ 9       │ 'hash128split' │ 100  │ 'random'     │ 200   │ 1000   │ 997     │
│ 10      │ 'hash32x4'     │ 100  │ 'random'     │ 300   │ 1000   │ 1000    │
│ 11      │ 'hash128split' │ 100  │ 'random'     │ 300   │ 1000   │ 1000    │
│ 12      │ 'hash32x4'     │ 100  │ 'random'     │ 500   │ 1000   │ 1000    │
│ 13      │ 'hash128split' │ 100  │ 'random'     │ 500   │ 1000   │ 1000    │
│ 14      │ 'hash32x4'     │ 100  │ 'timestamps' │ 120   │ 1000   │ 1       │
│ 15      │ 'hash128split' │ 100  │ 'timestamps' │ 120   │ 1000   │ 2       │
│ 16      │ 'hash32x4'     │ 100  │ 'timestamps' │ 132   │ 1000   │ 336     │
│ 17      │ 'hash128split' │ 100  │ 'timestamps' │ 132   │ 1000   │ 355     │
│ 18      │ 'hash32x4'     │ 100  │ 'timestamps' │ 140   │ 1000   │ 830     │
│ 19      │ 'hash128split' │ 100  │ 'timestamps' │ 140   │ 1000   │ 817     │
│ 20      │ 'hash32x4'     │ 100  │ 'timestamps' │ 152   │ 1000   │ 993     │
│ 21      │ 'hash128split' │ 100  │ 'timestamps' │ 152   │ 1000   │ 990     │
│ 22      │ 'hash32x4'     │ 100  │ 'timestamps' │ 200   │ 1000   │ 1000    │
│ 23      │ 'hash128split' │ 100  │ 'timestamps' │ 200   │ 1000   │ 1000    │
│ 24      │ 'hash32x4'     │ 100  │ 'timestamps' │ 300   │ 1000   │ 1000    │
│ 25      │ 'hash128split' │ 100  │ 'timestamps' │ 300   │ 1000   │ 1000    │
│ 26      │ 'hash32x4'     │ 100  │ 'timestamps' │ 500   │ 1000   │ 1000    │
│ 27      │ 'hash128split' │ 100  │ 'timestamps' │ 500   │ 1000   │ 1000    │
│ 28      │ 'hash32x4'     │ 100  │ 'prefix'     │ 120   │ 1000   │ 0       │
│ 29      │ 'hash128split' │ 100  │ 'prefix'     │ 120   │ 1000   │ 4       │
│ 30      │ 'hash32x4'     │ 100  │ 'prefix'     │ 132   │ 1000   │ 354     │
│ 31      │ 'hash128split' │ 100  │ 'prefix'     │ 132   │ 1000   │ 326     │
│ 32      │ 'hash32x4'     │ 100  │ 'prefix'     │ 140   │ 1000   │ 841     │
│ 33      │ 'hash128split' │ 100  │ 'prefix'     │ 140   │ 1000   │ 821     │
│ 34      │ 'hash32x4'     │ 100  │ 'prefix'     │ 152   │ 1000   │ 996     │
│ 35      │ 'hash128split' │ 100  │ 'prefix'     │ 152   │ 1000   │ 995     │
